Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
47,No,Travel_Rarely,616,Sales,5,1,Other,1,19,2,Female,59,2,4,Manager,1,Single,15500,5600,4,Y,No,12,3,4,80,2,39,0,1,36,14,15,12
55,No,Non-Travel,756,Research & Development,21,1,Marketing,1,20,2,Female,54,1,1,Laboratory Technician,1,Married,2305,24344,4,Y,No,20,3,1,80,1,34,1,3,15,5,11,1
19,No,Travel_Rarely,712,Sales,29,3,Technical Degree,1,21,2,Male,92,3,1,Research Director,4,Divorced,6697,7279,2,Y,Yes,25,4,4,80,2,20,3,2,20,8,12,10
38,Yes,Travel_Rarely,263,Research & Development,7,3,Human Resources,1,22,2,Female,48,1,5,Human Resources,2,Single,9222,20151,6,Y,Yes,13,4,3,80,3,37,2,1,12,9,13,12
50,No,Non-Travel,163,Research & Development,28,3,Technical Degree,1,23,2,Female,37,3,5,Healthcare Representative,1,Single,9933,17494,8,Y,Yes,11,4,2,80,0,7,0,1,3,16,12,9
29,No,Travel_Rarely,1214,Research & Development,2,2,Human Resources,1,24,2,Male,32,3,3,Research Scientist,4,Single,19849,20182,8,Y,Yes,25,4,4,80,0,31,5,2,30,0,6,14
39,Yes,Travel_Rarely,1240,Research & Development,11,4,Technical Degree,1,25,2,Female,96,3,5,Research Scientist,2,Married,13463,14398,0,Y,Yes,14,4,4,80,2,7,2,4,8,13,9,0
42,No,Travel_Rarely,366,Research & Development,13,4,Marketing,1,26,3,Female,46,4,4,Sales Representative,1,Divorced,2402,2282,0,Y,Yes,18,4,2,80,2,9,0,3,32,3,4,13
44,No,Non-Travel,1263,Sales,23,4,Human Resources,1,27,4,Male,43,2,5,Sales Executive,1,Divorced,14901,16030,9,Y,No,15,4,4,80,1,22,0,4,36,1,15,9
59,No,Non-Travel,345,Research & Development,5,4,Life Sciences,1,28,3,Male,38,1,4,Research Scientist,4,Divorced,8940,24721,4,Y,Yes,12,3,2,80,3,3,6,3,36,2,3,17
45,Yes,Travel_Rarely,494,Sales,6,3,Human Resources,1,29,2,Female,91,2,5,Manufacturing Director,1,Single,18022,17302,0,Y,No,13,4,3,80,0,37,3,3,23,6,5,10
33,Yes,Travel_Rarely,575,Research & Development,24,1,Medical,1,30,2,Male,50,3,5,Sales Executive,3,Divorced,10095,7166,3,Y,No,11,3,3,80,1,29,6,1,24,13,8,6
32,Yes,Non-Travel,1076,Human Resources,26,3,Life Sciences,1,31,3,Female,66,3,5,Manufacturing Director,2,Single,12842,9121,0,Y,No,12,4,3,80,2,22,5,2,28,11,5,14
20,No,Non-Travel,1307,Research & Development,29,4,Medical,1,32,3,Male,40,2,2,Healthcare Representative,2,Married,6544,16677,1,Y,No,11,4,1,80,3,4,1,4,39,18,7,2
54,No,Travel_Rarely,1143,Human Resources,14,3,Technical Degree,1,33,4,Female,49,2,2,Human Resources,3,Divorced,8074,18373,1,Y,No,12,3,3,80,1,20,6,1,35,17,0,1
24,Yes,Travel_Rarely,657,Research & Development,12,4,Life Sciences,1,34,3,Female,64,1,5,Sales Executive,4,Single,8850,23873,3,Y,Yes,13,3,4,80,1,5,5,1,14,14,11,7
38,No,Travel_Rarely,1117,Research & Development,4,5,Technical Degree,1,35,4,Female,82,3,4,Healthcare Representative,3,Divorced,2750,6896,7,Y,No,11,3,1,80,2,16,3,1,17,0,13,7
26,No,Travel_Frequently,982,Research & Development,29,1,Other,1,36,2,Male,76,2,3,Research Scientist,3,Divorced,3617,18514,1,Y,No,21,3,1,80,3,24,3,4,19,2,5,10
56,No,Non-Travel,246,Human Resources,23,5,Technical Degree,1,37,1,Female,81,4,1,Human Resources,2,Married,4530,3293,8,Y,No,19,4,1,80,0,23,6,1,4,14,13,15
35,No,Travel_Frequently,765,Human Resources,6,2,Technical Degree,1,38,1,Male,37,3,2,Manager,4,Divorced,5333,24443,8,Y,Yes,20,4,3,80,1,21,3,2,17,3,13,1
21,No,Non-Travel,1427,Research & Development,10,3,Medical,1,39,1,Female,33,3,5,Research Scientist,1,Married,9234,8957,1,Y,Yes,15,3,1,80,2,12,2,1,39,14,1,4
42,No,Non-Travel,719,Sales,18,2,Human Resources,1,40,1,Female,56,1,1,Laboratory Technician,3,Divorced,2511,18444,0,Y,Yes,18,3,3,80,1,16,5,1,0,9,2,6
31,No,Non-Travel,919,Research & Development,15,3,Other,1,41,2,Female,73,4,2,Research Director,3,Divorced,16546,20595,9,Y,Yes,15,4,3,80,2,13,5,3,18,5,5,12
26,No,Non-Travel,963,Human Resources,8,5,Technical Degree,1,42,1,Female,69,1,3,Sales Executive,4,Divorced,7082,11740,9,Y,No,18,4,1,80,2,33,0,1,22,12,1,1
43,No,Non-Travel,681,Research & Development,26,4,Technical Degree,1,43,3,Female,76,4,4,Laboratory Technician,3,Divorced,18636,14559,8,Y,Yes,17,3,1,80,2,25,4,4,25,6,3,2
19,No,Non-Travel,1122,Human Resources,9,4,Other,1,44,3,Male,73,1,5,Sales Executive,4,Divorced,10820,11973,1,Y,No,22,4,4,80,3,18,1,4,28,0,5,8
37,No,Non-Travel,794,Human Resources,5,3,Other,1,45,1,Male,77,4,3,Research Director,1,Divorced,5476,8276,7,Y,Yes,14,4,1,80,0,25,3,2,33,10,4,9
45,No,Travel_Frequently,1351,Human Resources,10,4,Life Sciences,1,46,3,Male,81,4,2,Sales Executive,4,Married,11178,23747,2,Y,Yes,25,3,3,80,3,2,5,4,18,13,5,12
24,No,Travel_Rarely,1225,Research & Development,20,5,Medical,1,47,4,Female,97,4,5,Healthcare Representative,1,Married,3725,10152,0,Y,Yes,17,3,4,80,0,1,5,4,17,5,14,12
25,Yes,Travel_Rarely,1339,Human Resources,6,4,Other,1,48,2,Female,40,2,1,Manufacturing Director,4,Single,15765,9973,0,Y,Yes,16,3,4,80,2,27,0,1,1,4,5,4
52,No,Travel_Frequently,506,Human Resources,16,5,Other,1,49,1,Male,33,3,4,Sales Representative,3,Divorced,3701,17333,9,Y,No,13,3,3,80,0,1,1,2,26,18,7,6
31,No,Travel_Frequently,498,Research & Development,24,2,Marketing,1,50,1,Female,77,4,2,Healthcare Representative,1,Married,10496,2037,1,Y,Yes,19,4,1,80,3,21,4,4,5,18,8,16
34,No,Travel_Frequently,814,Human Resources,27,5,Human Resources,1,51,2,Female,55,2,4,Research Director,3,Divorced,14270,7990,6,Y,No,22,3,1,80,1,6,4,2,38,12,4,14
53,No,Travel_Frequently,803,Research & Development,3,1,Other,1,52,3,Female,68,2,5,Sales Executive,1,Divorced,12472,7438,5,Y,No,20,4,2,80,3,3,3,2,5,6,5,4
57,No,Non-Travel,860,Human Resources,10,1,Medical,1,53,2,Male,87,1,3,Healthcare Representative,4,Married,4807,17735,1,Y,No,25,4,1,80,3,37,4,3,5,7,5,6
21,No,Travel_Rarely,598,Sales,11,1,Human Resources,1,54,2,Male,48,3,4,Manufacturing Director,4,Divorced,17654,12856,3,Y,No,23,4,2,80,3,38,4,3,30,13,5,1
19,No,Non-Travel,1073,Sales,11,3,Human Resources,1,55,3,Male,87,3,1,Laboratory Technician,4,Married,13078,2473,1,Y,No,19,4,4,80,3,19,6,1,39,18,1,17
23,Yes,Travel_Rarely,181,Human Resources,17,3,Technical Degree,1,56,2,Male,57,1,2,Healthcare Representative,2,Married,9572,2058,0,Y,No,24,3,4,80,3,5,1,4,29,18,15,9
59,No,Travel_Rarely,703,Sales,4,3,Technical Degree,1,57,3,Male,95,3,1,Laboratory Technician,2,Single,19408,4636,2,Y,No,15,4,4,80,0,8,1,1,20,11,3,0
21,No,Travel_Frequently,871,Research & Development,4,5,Technical Degree,1,58,3,Female,39,1,4,Research Director,1,Single,10698,16834,3,Y,Yes,18,3,2,80,0,30,6,1,17,8,0,13
46,No,Non-Travel,1002,Sales,17,3,Technical Degree,1,59,2,Female,87,2,3,Laboratory Technician,2,Single,6856,17577,9,Y,No,17,4,3,80,1,25,3,2,22,13,13,15
35,No,Travel_Frequently,464,Human Resources,9,2,Marketing,1,60,4,Female,43,2,3,Sales Executive,4,Single,8724,20998,4,Y,Yes,19,3,3,80,3,35,5,2,37,5,11,5
43,Yes,Non-Travel,262,Human Resources,19,1,Other,1,61,3,Female,44,4,1,Human Resources,2,Divorced,11245,9296,4,Y,Yes,17,4,4,80,3,25,0,2,22,14,15,11
51,No,Travel_Rarely,1171,Research & Development,5,5,Technical Degree,1,62,2,Male,62,1,5,Human Resources,2,Divorced,12866,23383,6,Y,No,14,4,2,80,1,27,3,1,27,12,0,2
27,No,Travel_Frequently,610,Human Resources,22,1,Life Sciences,1,63,3,Male,46,2,5,Manager,3,Single,12096,14670,9,Y,No,14,3,2,80,1,4,2,4,35,6,0,6
53,No,Travel_Frequently,1452,Research & Development,24,3,Technical Degree,1,64,4,Female,53,2,3,Sales Executive,1,Married,6587,11725,7,Y,Yes,21,3,4,80,2,9,4,1,24,10,6,2
31,No,Travel_Rarely,215,Sales,6,5,Other,1,65,4,Male,59,1,1,Research Director,1,Married,6922,22181,8,Y,Yes,18,3,1,80,1,17,6,1,6,9,15,16
48,No,Travel_Rarely,1040,Sales,3,4,Technical Degree,1,66,1,Female,91,2,1,Research Scientist,1,Married,7046,4674,6,Y,No,16,3,4,80,1,14,0,1,17,0,0,14
32,No,Travel_Rarely,436,Research & Development,22,2,Marketing,1,67,3,Female,42,3,1,Human Resources,2,Married,9203,17796,4,Y,No,19,4,2,80,1,32,5,3,19,6,15,10
25,No,Travel_Frequently,980,Research & Development,1,3,Medical,1,68,3,Female,91,2,4,Research Director,4,Divorced,17403,13065,8,Y,Yes,24,4,1,80,2,4,5,3,4,17,15,1
31,No,Non-Travel,836,Human Resources,20,3,Medical,1,69,2,Female,76,1,5,Laboratory Technician,3,Married,11828,24820,7,Y,Yes,20,4,3,80,0,36,1,4,17,2,5,6
40,No,Travel_Frequently,939,Sales,22,2,Other,1,70,3,Male,45,3,5,Healthcare Representative,1,Married,17797,21504,9,Y,No,24,4,1,80,2,39,2,3,39,8,1,6
57,No,Non-Travel,246,Research & Development,16,2,Medical,1,71,1,Female,95,3,4,Human Resources,2,Single,2038,13026,8,Y,Yes,17,4,3,80,0,21,5,1,32,4,5,9
38,No,Travel_Frequently,1446,Sales,23,4,Medical,1,72,4,Male,72,2,2,Sales Executive,4,Married,8265,4076,9,Y,Yes,17,3,2,80,1,21,2,3,14,12,5,11
33,No,Travel_Frequently,542,Research & Development,11,3,Life Sciences,1,73,4,Female,37,4,4,Human Resources,3,Divorced,8598,21574,7,Y,No,14,3,4,80,2,21,4,3,34,15,11,17
35,No,Travel_Rarely,936,Sales,13,3,Other,1,74,1,Female,32,3,1,Manufacturing Director,3,Married,4415,6787,5,Y,Yes,13,4,4,80,2,14,1,1,0,15,10,5
41,No,Non-Travel,1136,Human Resources,27,1,Other,1,75,3,Female,41,1,4,Manufacturing Director,1,Married,19142,24440,3,Y,No,18,3,4,80,0,16,0,4,20,11,2,7
43,No,Travel_Frequently,1042,Sales,10,5,Medical,1,76,3,Female,45,4,1,Manufacturing Director,1,Divorced,19148,9494,8,Y,No,17,4,4,80,2,27,1,3,7,17,14,4
42,No,Travel_Frequently,386,Sales,3,5,Medical,1,77,1,Male,88,4,3,Human Resources,4,Single,16306,21961,8,Y,No,14,4,4,80,2,21,4,1,6,10,7,2
58,No,Travel_Rarely,819,Sales,9,1,Medical,1,78,2,Female,78,3,1,Manager,2,Divorced,16577,23125,9,Y,Yes,23,3,2,80,3,20,6,1,39,16,10,1
46,No,Travel_Rarely,1237,Sales,28,5,Human Resources,1,79,4,Male,92,2,5,Research Director,4,Single,13885,4581,9,Y,No,14,4,2,80,0,16,5,1,39,6,3,5
32,No,Non-Travel,579,Sales,12,2,Marketing,1,80,1,Female,91,4,4,Manufacturing Director,1,Married,13377,17600,8,Y,Yes,11,3,4,80,2,4,2,2,29,14,12,6
18,No,Travel_Frequently,121,Human Resources,23,5,Technical Degree,1,81,1,Female,78,2,1,Laboratory Technician,4,Single,13058,22171,9,Y,No,21,4,1,80,2,17,6,1,37,5,6,7
42,No,Non-Travel,1472,Research & Development,14,5,Marketing,1,82,3,Female,80,3,2,Sales Executive,2,Single,9443,16333,2,Y,No,17,3,4,80,1,16,4,3,34,5,3,3
24,No,Travel_Frequently,782,Sales,1,1,Other,1,83,4,Male,62,1,3,Sales Representative,3,Single,19701,12404,2,Y,Yes,11,4,3,80,3,3,5,3,1,17,0,11
26,No,Non-Travel,1005,Human Resources,18,4,Life Sciences,1,84,3,Female,59,4,2,Manufacturing Director,3,Married,19084,13166,5,Y,Yes,20,4,3,80,3,6,3,1,7,18,5,11
41,No,Travel_Rarely,419,Sales,17,5,Technical Degree,1,85,1,Female,88,1,2,Research Director,3,Single,6383,2932,5,Y,Yes,20,3,3,80,1,24,2,2,37,19,4,16
18,No,Travel_Frequently,225,Sales,27,5,Life Sciences,1,86,2,Female,44,2,2,Laboratory Technician,3,Single,3593,20047,5,Y,No,14,4,3,80,1,36,4,2,3,18,8,8
25,No,Non-Travel,376,Research & Development,9,4,Human Resources,1,87,4,Female,52,2,3,Sales Executive,1,Married,16758,10748,4,Y,Yes,21,4,4,80,1,39,0,2,36,1,14,11
41,No,Travel_Rarely,1327,Sales,9,1,Other,1,88,1,Female,74,1,3,Healthcare Representative,1,Divorced,9026,17577,4,Y,No,24,3,3,80,1,39,0,3,20,2,13,16
28,No,Travel_Rarely,293,Human Resources,23,4,Human Resources,1,89,1,Male,91,3,3,Research Scientist,2,Divorced,4612,17015,1,Y,Yes,13,3,1,80,3,8,5,2,12,13,13,9
34,No,Non-Travel,795,Human Resources,10,1,Other,1,90,2,Male,44,3,3,Laboratory Technician,2,Divorced,13329,18108,6,Y,No,21,3,4,80,2,18,5,4,8,3,14,10
25,No,Travel_Frequently,1409,Research & Development,19,2,Life Sciences,1,91,1,Female,75,4,2,Manager,2,Married,3908,23236,3,Y,No,13,4,3,80,2,8,0,4,28,16,8,12
52,Yes,Travel_Frequently,156,Sales,29,1,Life Sciences,1,92,1,Female,93,4,5,Laboratory Technician,2,Married,8954,3104,2,Y,No,22,3,4,80,1,22,3,2,23,5,11,3
52,No,Travel_Rarely,1426,Human Resources,15,2,Life Sciences,1,93,4,Male,75,3,5,Laboratory Technician,4,Divorced,17185,19654,7,Y,No,11,3,4,80,0,30,1,4,15,18,10,14
50,Yes,Travel_Frequently,1286,Sales,5,2,Other,1,94,4,Female,85,3,3,Manager,2,Single,17496,14936,3,Y,Yes,14,3,4,80,1,31,0,1,11,8,12,11
22,No,Travel_Frequently,118,Sales,15,1,Medical,1,95,4,Male,73,1,4,Healthcare Representative,3,Divorced,4928,11601,3,Y,Yes,24,4,2,80,2,30,5,2,1,3,7,9
59,No,Travel_Frequently,1493,Sales,20,3,Life Sciences,1,96,3,Female,58,2,1,Human Resources,3,Married,11280,5646,7,Y,No,11,3,3,80,0,16,5,2,18,6,14,6
56,No,Travel_Rarely,363,Research & Development,23,1,Human Resources,1,97,2,Female,91,2,4,Sales Executive,3,Single,9681,23471,0,Y,No,24,4,2,80,1,38,3,2,29,3,6,1
58,No,Non-Travel,893,Sales,25,5,Technical Degree,1,98,4,Male,81,4,4,Laboratory Technician,4,Single,6127,23107,8,Y,Yes,23,4,1,80,0,21,0,1,15,10,13,6
45,No,Travel_Frequently,212,Human Resources,28,5,Other,1,99,3,Female,83,3,4,Laboratory Technician,2,Married,6963,16960,6,Y,Yes,23,3,1,80,1,34,3,1,23,1,1,7
24,No,Travel_Rarely,1450,Sales,2,3,Human Resources,1,100,3,Male,86,1,5,Manager,3,Single,13761,16878,1,Y,Yes,18,4,2,80,3,29,0,2,12,9,13,5
26,No,Travel_Rarely,641,Human Resources,13,2,Marketing,1,101,2,Male,95,4,1,Research Director,3,Divorced,15554,20438,5,Y,Yes,25,4,3,80,2,39,1,3,4,5,7,7
25,No,Non-Travel,746,Sales,24,3,Marketing,1,102,2,Male,51,1,4,Laboratory Technician,3,Married,11357,11145,7,Y,Yes,25,4,4,80,1,36,4,3,22,7,2,3
29,No,Travel_Frequently,678,Human Resources,16,5,Technical Degree,1,103,1,Female,49,3,3,Laboratory Technician,3,Married,2987,20226,4,Y,Yes,11,4,1,80,0,25,0,4,37,14,5,8
51,No,Travel_Frequently,1188,Human Resources,15,3,Medical,1,104,3,Male,62,3,5,Manager,1,Married,3965,4802,5,Y,No,22,4,1,80,2,5,4,1,30,12,9,4
50,No,Non-Travel,1415,Sales,25,1,Life Sciences,1,105,4,Male,54,3,3,Research Director,2,Married,9316,18365,9,Y,Yes,24,3,1,80,1,33,0,4,16,1,6,5
40,No,Non-Travel,124,Sales,10,3,Other,1,106,2,Female,75,2,3,Manager,2,Single,16046,8105,7,Y,Yes,16,3,3,80,1,31,1,4,2,19,11,11
41,No,Travel_Rarely,100,Human Resources,14,2,Human Resources,1,107,3,Female,86,3,4,Laboratory Technician,4,Married,2868,20944,5,Y,No,17,3,2,80,1,24,6,2,25,0,5,4
54,No,Travel_Rarely,1010,Research & Development,10,1,Life Sciences,1,108,4,Female,34,4,3,Manufacturing Director,1,Married,19513,21421,8,Y,Yes,25,4,2,80,1,12,5,3,12,14,4,4
52,No,Non-Travel,240,Sales,25,4,Human Resources,1,109,3,Female,84,2,1,Sales Executive,4,Single,6378,4749,8,Y,Yes,20,3,3,80,3,37,4,4,37,6,3,17
57,No,Travel_Frequently,747,Research & Development,14,5,Other,1,110,2,Female,90,1,3,Research Director,3,Married,17463,18974,8,Y,Yes,24,4,1,80,2,37,3,2,21,17,1,5
39,No,Travel_Rarely,287,Sales,26,5,Marketing,1,111,1,Female,37,4,4,Manufacturing Director,4,Single,15246,19752,5,Y,No,22,4,3,80,3,1,0,1,20,9,8,8
44,No,Travel_Rarely,1251,Sales,23,3,Life Sciences,1,112,3,Male,45,4,3,Manager,3,Single,3076,12181,8,Y,Yes,12,4,3,80,2,4,5,4,28,14,13,10
52,No,Travel_Frequently,300,Sales,9,1,Technical Degree,1,113,4,Female,77,1,5,Laboratory Technician,3,Married,17169,3361,2,Y,No,14,4,2,80,1,10,0,3,38,4,15,13
18,No,Travel_Rarely,1250,Sales,25,4,Medical,1,114,2,Male,90,2,5,Manager,2,Divorced,8385,5773,4,Y,Yes,21,3,3,80,2,10,3,1,4,10,6,1
52,No,Travel_Frequently,356,Research & Development,14,1,Technical Degree,1,115,1,Female,44,4,5,Human Resources,2,Married,10222,15495,1,Y,No,24,4,3,80,0,23,1,2,13,7,6,13
54,No,Travel_Frequently,646,Sales,3,5,Medical,1,116,4,Male,94,4,2,Human Resources,2,Divorced,19087,4064,7,Y,Yes,13,3,1,80,2,13,2,1,17,7,3,9
31,No,Travel_Frequently,293,Human Resources,20,1,Human Resources,1,117,4,Male,51,4,5,Laboratory Technician,2,Single,7480,20799,3,Y,Yes,23,3,4,80,0,29,0,4,3,5,13,4
20,No,Non-Travel,802,Human Resources,16,4,Life Sciences,1,118,4,Female,32,2,5,Laboratory Technician,2,Divorced,9777,21335,5,Y,Yes,23,4,1,80,0,39,6,1,32,14,15,3
18,No,Non-Travel,1227,Research & Development,2,3,Life Sciences,1,119,3,Female,83,2,2,Manufacturing Director,1,Married,7362,7616,5,Y,No,19,3,2,80,3,34,3,1,38,14,4,6
22,Yes,Non-Travel,1388,Sales,10,2,Medical,1,120,2,Male,43,2,5,Sales Representative,2,Married,2950,9975,4,Y,Yes,24,3,4,80,2,20,2,1,19,4,5,12
43,No,Travel_Frequently,901,Human Resources,3,1,Marketing,1,121,4,Female,65,4,4,Laboratory Technician,4,Divorced,10250,12960,0,Y,Yes,17,3,1,80,1,4,0,3,12,12,11,9
31,No,Travel_Frequently,1041,Research & Development,11,2,Other,1,122,3,Female,96,3,5,Research Director,3,Married,4818,23387,6,Y,No,12,4,3,80,2,37,4,4,35,13,10,9
56,Yes,Non-Travel,1383,Sales,11,5,Technical Degree,1,123,2,Male,39,1,5,Research Director,2,Divorced,5600,17324,9,Y,No,21,4,3,80,3,1,5,2,3,10,11,3
44,No,Travel_Rarely,513,Human Resources,21,3,Human Resources,1,124,2,Male,78,3,2,Manager,1,Single,13341,8243,7,Y,No,22,4,4,80,0,39,5,3,34,19,1,15
26,No,Travel_Frequently,1481,Human Resources,21,3,Technical Degree,1,125,3,Male,94,2,4,Manufacturing Director,4,Divorced,17053,24965,0,Y,Yes,16,3,4,80,0,36,3,4,7,11,3,14
32,No,Travel_Rarely,1198,Research & Development,22,1,Technical Degree,1,126,3,Female,86,4,3,Healthcare Representative,4,Divorced,16333,11560,9,Y,No,19,3,3,80,3,33,4,2,39,19,14,10
32,Yes,Travel_Rarely,1478,Sales,13,3,Human Resources,1,127,4,Female,56,4,1,Research Scientist,3,Divorced,8255,16684,6,Y,Yes,22,4,2,80,3,10,1,2,35,0,12,2
43,No,Travel_Frequently,1009,Sales,7,1,Human Resources,1,128,2,Female,34,3,4,Manager,4,Divorced,12907,10330,3,Y,No,13,4,1,80,2,35,2,2,5,2,3,14
59,No,Travel_Frequently,287,Human Resources,23,1,Life Sciences,1,129,1,Female,86,3,3,Laboratory Technician,4,Single,18007,6923,5,Y,No,24,3,3,80,0,10,3,4,21,7,11,15
30,No,Travel_Rarely,1413,Human Resources,17,2,Technical Degree,1,130,3,Male,44,1,4,Manager,4,Single,16241,8467,8,Y,Yes,25,4,1,80,3,8,6,2,5,11,12,13
49,No,Travel_Rarely,144,Human Resources,2,3,Other,1,131,2,Female,59,4,3,Healthcare Representative,4,Single,14090,23325,4,Y,Yes,21,4,1,80,2,5,0,2,35,14,3,4
56,No,Non-Travel,182,Sales,12,1,Other,1,132,2,Male,49,3,3,Research Scientist,1,Divorced,14305,24821,7,Y,Yes,16,3,1,80,2,33,5,3,8,2,6,16
49,No,Non-Travel,1246,Research & Development,25,2,Medical,1,133,4,Female,66,1,4,Healthcare Representative,3,Single,19562,8076,4,Y,Yes,24,3,1,80,1,36,0,2,15,7,12,17
21,No,Travel_Frequently,457,Research & Development,10,4,Human Resources,1,134,1,Female,32,2,2,Healthcare Representative,2,Married,15065,24032,1,Y,No,13,4,2,80,0,31,2,1,38,18,6,0
47,No,Non-Travel,1189,Sales,18,2,Life Sciences,1,135,4,Male,70,3,4,Human Resources,4,Single,14647,10001,3,Y,No,13,4,2,80,2,11,4,3,37,19,6,8
54,Yes,Non-Travel,1035,Research & Development,22,2,Other,1,136,1,Female,68,2,4,Research Director,1,Divorced,10523,17303,1,Y,No,14,4,2,80,3,31,4,3,32,5,6,13
40,No,Non-Travel,474,Human Resources,27,1,Marketing,1,137,1,Female,55,1,3,Sales Representative,3,Married,8037,19699,6,Y,Yes,19,4,3,80,0,16,3,4,17,17,1,10
56,No,Non-Travel,261,Research & Development,11,5,Life Sciences,1,138,3,Male,31,2,1,Laboratory Technician,2,Divorced,2527,18457,6,Y,Yes,21,3,3,80,3,3,3,2,11,10,4,1
32,No,Travel_Rarely,1481,Research & Development,16,5,Life Sciences,1,139,2,Female,52,4,3,Manufacturing Director,3,Married,11290,10675,2,Y,No,23,4,3,80,3,32,4,1,26,11,9,4
46,No,Travel_Frequently,1311,Research & Development,17,5,Other,1,140,2,Male,52,4,5,Manager,1,Divorced,2211,14303,6,Y,No,18,4,2,80,2,8,3,1,0,1,1,14
